Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
Nasdaq,NASDAQ,XNAS,USA,USD,-4,09:30,16:00
New York Stock Exchange,NYSE,XNYS,USA,USD,-4,09:30,16:00
Simulation Exchange,SIM,XSIM,International,USD,+0,00:00,23:59
Asx - Trade24,SFE,XSFE,Australia,AUD,+11,10:00,16:00
Cboe Edga U.s. Equities Exchange Dark,EDGADARK,EDGD,United States,USD,-4,09:30,16:00
Clear Street,CLST,CLST,United States,USD,-4,09:30,16:00
Wall Street Access Nyc,WABR,WABR,United States,USD,-4,09:30,16:00
Marex Spectron Europe Limited - Otf,MSEL OTF,MSEL,Ireland,EUR,+0,08:00,16:30
Borsa Italiana Equity Mtf,BITEQMTF,MTAH,Italy,EUR,+1,09:00,17:25
Memx Llc Equities,MEMX,MEMX,United States,USD,-4,09:30,16:00
Natixis - Systematic Internaliser,NATX,NATX,France,EUR,+1,09:00,17:30
Currenex Ireland Mtf - Rfq,CNX MTF,ICXR,Ireland,EUR,+0,08:00,16:30
Neo Exchange - Neo-l (market By Order),NEO-L,NEOE,Canada,CAD,-4,09:30,16:00
Cboe Australia - Transferable Custody Receipt Market,CHI-X,CXAR,Australia,AUD,+11,10:00,16:00
Essex Radez Llc,GLPS,GLPS,United States,USD,-4,09:30,16:00
London Metal Exchange,LME,XLME,United Kingdom,GBP,+0,08:00,16:00
Cassa Di Compensazione E Garanzia Spa - Ccp Agricultural Commodity Derivatives,CCGAGRIDER,CGGD,Italy,EUR,+1,09:00,17:25
Toronto Stock Exchange - Drk,TSX DRK,XDRK,Canada,CAD,-4,09:30,16:00
Chicago Mercantile Exchange,CME,XCME,United States,USD,-4,09:30,16:00
Neo Connect,NEO CONNECT,NEOC,Canada,CAD,-4,09:30,16:00
Ubs Ats,UBS ATS,UBSA,United States,USD,-4,09:30,16:00
Athens Exchange - Apa,ATHEX APA,AAPA,Greece,EUR,+2,10:15,17:20
